date,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,latent_8,latent_9,latent_10,latent_11,latent_12,latent_13,latent_14,latent_15,latent_16,latent_17,latent_18,latent_19,latent_20,latent_21,latent_22,latent_23,latent_24,latent_25,latent_26,latent_27,latent_28,latent_29,latent_30,latent_31
2026-10-07,-0.6662587,-0.18883716,0.027407214,-0.07710028,-0.16352563,-0.025256999,0.30513117,0.022399515,-0.878975,0.5036418,0.08690798,-0.38037807,-0.47047737,0.38270956,0.17017277,0.017145634,0.24575287,-0.34665757,-0.17056932,-0.09612621,-0.23743996,-0.41084322,0.047163896,-0.5227892,0.050459325,0.3766917,-0.087823585,0.09194951,-0.032919947,-0.031118944,0.2601985,0.6763697
2026-10-08,-0.6665971,-0.18822142,0.026414502,-0.07663308,-0.16430245,-0.024615332,0.30492094,0.021773823,-0.87998325,0.5035803,0.08772139,-0.3807587,-0.4696103,0.38347304,0.17144527,0.017189538,0.24624282,-0.34717512,-0.17003341,-0.095750004,-0.23714586,-0.40988734,0.04725844,-0.5230293,0.05095586,0.3770432,-0.086553395,0.092386544,-0.03410851,-0.031907104,0.25927383,0.6763399
2026-10-09,-0.6675319,-0.18649358,0.02415669,-0.07562499,-0.16681676,-0.022669412,0.30426407,0.020116903,-0.88302696,0.5035544,0.08962868,-0.3813654,-0.46700856,0.38589072,0.1744847,0.017341835,0.24787322,-0.34906492,-0.16850443,-0.09454423,-0.23632805,-0.4074844,0.04731489,-0.5236252,0.0524531,0.37833893,-0.08276057,0.093671724,-0.037781723,-0.03409037,0.25690907,0.67592144
2026-10-12,-0.6658225,-0.18439178,0.024093162,-0.07332805,-0.16619597,-0.020980842,0.30506635,0.019957233,-0.88088405,0.50335145,0.09109439,-0.38239548,-0.46562055,0.38659787,0.17414556,0.01860701,0.24704476,-0.3467482,-0.16901948,-0.097204044,-0.23685311,-0.4062522,0.047344603,-0.5232871,0.052812755,0.37819248,-0.08309044,0.093969926,-0.037371885,-0.034797736,0.25664145,0.67558867
2026-10-13,-0.66328925,-0.18044506,0.02333546,-0.06916307,-0.16637878,-0.017291449,0.3061291,0.019029249,-0.8784689,0.50303864,0.093939565,-0.38377666,-0.46195385,0.3890031,0.17470607,0.02073524,0.2465887,-0.34388384,-0.1693116,-0.10107683,-0.23715359,-0.403028,0.047258295,-0.5228739,0.054152265,0.37862113,-0.081944,0.09496319,-0.03853887,-0.036921248,0.25533178,0.67475766
2026-10-14,-0.66014594,-0.17942733,0.025399845,-0.06749588,-0.1638473,-0.017025746,0.30755043,0.02050478,-0.87343955,0.5028166,0.09409169,-0.38422263,-0.4621434,0.38820484,0.17188717,0.022362646,0.24454021,-0.33981603,-0.17117219,-0.10486609,-0.2382494,-0.40316394,0.04722605,-0.52151465,0.053534433,0.37745303,-0.08504599,0.09437446,-0.034998402,-0.036304697,0.2569278,0.67431426
2026-10-15,-0.6561808,-0.17564249,0.025865074,-0.06291534,-0.16244449,-0.013666771,0.30934262,0.020513881,-0.8684761,0.502474,0.09648454,-0.38541073,-0.45899603,0.38981062,0.17066753,0.02509534,0.24310523,-0.33506954,-0.17232387,-0.11044273,-0.23905326,-0.40044945,0.04704415,-0.5204807,0.05416271,0.37722433,-0.085831985,0.0947811,-0.034194548,-0.03773094,0.25670514,0.67334354
2026-10-16,-0.6528895,-0.17398787,0.027421199,-0.060543206,-0.16023259,-0.012499474,0.3108337,0.02146639,-0.86351043,0.5021179,0.09721822,-0.3859063,-0.45820197,0.38967645,0.16848676,0.026855532,0.2412835,-0.33093852,-0.17404099,-0.11456664,-0.23989768,-0.39965796,0.046947137,-0.5192344,0.054006234,0.3762449,-0.08821431,0.09442812,-0.031529237,-0.037736207,0.25765777,0.67276603
2026-10-19,-0.64999664,-0.17313507,0.02906559,-0.058872443,-0.15787184,-0.011994921,0.3121751,0.022715852,-0.8588506,0.5019456,0.097284116,-0.3859706,-0.45806047,0.3890528,0.16602351,0.02824846,0.23958474,-0.32726875,-0.17565845,-0.118113056,-0.24065842,-0.39950812,0.046823643,-0.5180715,0.05345489,0.375287,-0.09085043,0.09381467,-0.028688189,-0.037358724,0.2589712,0.6723933
2026-10-20,-0.64740247,-0.1736356,0.03153355,-0.058382127,-0.15468994,-0.012969919,0.3134495,0.02479206,-0.85361546,0.5018264,0.09607053,-0.385574,-0.45949933,0.3870064,0.16238643,0.029157577,0.23749605,-0.3235158,-0.17765354,-0.12123615,-0.2416989,-0.40089074,0.04671549,-0.516685,0.05204527,0.37399065,-0.094869405,0.09269267,-0.024413679,-0.03576103,0.26145735,0.67242086
